,ru_name,en_name,year,length,country,genre,director,cast,rating,ratings_number
89,Маленькая мисс Счастье,Little Miss Sunshine,2006,101,США,драма,Джонатан Дэйтон,"['Эбигейл Бреслин', 'Грег Кинниэр']",7.5,91051
90,Борат,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84,США,комедия,Ларри Чарльз,"['Саша Барон Коэн', 'Кен Давитян']",6.7,194819
91,Семейка Тененбаум,The Royal Tenenbaums,2001,110,США,драма,Уэс Андерсон,"['Джин Хэкмен', 'Анжелика Хьюстон']",7.4,49748
92,Человек-паук: Через вселенные,Spider-Man: Into the Spider-Verse,2018,117,Канада,мультфильм,Боб Персичетти,"['Шамеик Мур', 'Джейк Джонсон']",8.2,538445
93,Убийца,Sicario,2015,121,США,боевик,Дени Вильнёв,"['Эмили Блант', 'Бенисио Дель Торо']",7.2,142732
94,Престиж,The Prestige,2006,130,Великобритания,триллер,Кристофер Нолан,"['Хью Джекман', 'Кристиан Бэйл']",8.5,605709
95,Железный человек,Iron Man,2008,126,США,фантастика,Джон Фавро,"['Роберт Дауни мл.', 'Джефф Бриджес']",8.0,659854
96,Выживут только любовники,Only Lovers Left Alive,2013,118,Великобритания,фэнтези,Джим Джармуш,"['Тильда Суинтон', 'Том Хиддлстон']",7.4,111568
97,Елена,,2011,109,Россия,драма,Андрей Звягинцев,"['Надежда Маркина', 'Андрей Смирнов']",7.2,62888
98,Она,Her,2013,126,США,мелодрама,Спайк Джонс,"['Хоакин Феникс', 'Скарлетт Йоханссон']",7.7,246009
99,Бьютифул,Biutiful,2009,148,Мексика,драма,Алехандро Гонсалес Иньярриту,"['Хавьер Бардем', 'Марисель Альварес']",7.7,49195
100,Игры разума,A Beautiful Mind,2001,135,США,биография,Рон Ховард,"['Рассел Кроу', 'Эд Харрис']",8.5,498151
