,ru_name,en_name,year,length,country,genre,director,cast,rating,ratings_number
0,Зеленая миля,The Green Mile,1999,189,США,драма,Фрэнк Дарабонт,"['Том Хэнкс', 'Дэвид Морс']",9.1,114573
1,1+1,Intouchables,2011,112,Франция,драма,Оливье Накаш,"['Франсуа Клюзе', 'Омар Си']",9.0,442253
2,Побег из Шоушенка,The Shawshank Redemption,1994,142,США,драма,Фрэнк Дарабонт,"['Тим Роббинс', 'Морган Фриман']",9.0,119564
3,Форрест Гамп,Forrest Gump,1994,142,США,драма,Роберт Земекис,"['Том Хэнкс', 'Робин Райт']",9.0,109984
4,Интерстеллар,Interstellar,2014,169,США,фантастика,Кристофер Нолан,"['Мэттью Макконахи', 'Энн Хэтэуэй']",8.9,109489
5,Унесённые призраками,Sen to Chihiro no kamikakushi,2001,125,Япония,аниме,Хаяо Миядзаки,"['Руми Хиираги', 'Мию Ирино']",8.9,100986
6,Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,2003,201,Новая Зеландия,фэнтези,Питер Джексон,"['Элайджа Вуд', 'Вигго Мортенсен']",8.9,42339
7,Бойцовский клуб,Fight Club,1999,139,США,триллер,Дэвид Финчер,"['Эдвард Нортон', 'Брэд Питт']",8.8,230085
8,Список Шиндлера,Schindler's List,1993,195,США,драма,Стивен Спилберг,"['Лиам Нисон', 'Бен Кингсли']",8.8,38297
9,Шрэк,Shrek,2001,90,США,мультфильм,Эндрю Адамсон,"['Майк Майерс', 'Эдди Мерфи']",8.8,202677
10,Криминальное чтиво,Pulp Fiction,1994,154,США,криминал,Квентин Тарантино,"['Джон Траволта', 'Сэмюэл Л. Джексон']",8.8,96106
11,Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,2001,178,Новая Зеландия,фэнтези,Питер Джексон,"['Элайджа Вуд', 'Иэн Маккеллен']",8.8,55491
12,Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,2002,179,Новая Зеландия,фэнтези,Питер Джексон,"['Элайджа Вуд', 'Иэн Маккеллен']",8.8,39518
13,Иван Васильевич меняет профессию,,1973,88,СССР,комедия,Леонид Гайдай,"['Александр Демьяненко', 'Юрий Яковлев']",8.7,181103
14,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,,1981,154,СССР,детектив,Игорь Масленников,"['Василий Ливанов', 'Виталий Соломин']",8.7,51538
