,ru_name,en_name,country,year,genre,rating,imdb_rating
60,Запах женщины,Scent of a Woman,['США'],1992,['драма'],8.2,8.0
61,Жизнь прекрасна,La vita bella,['Италия'],1997,"['драма', 'мелодрама', 'комедия', 'военный']",8.2,8.6
62,Шерлок Холмс и доктор Ватсон: Кровавая надпись,,['СССР'],1979,"['детектив', 'криминал']",8.2,8.3
63,В погоне за счастьем,The Pursuit of Happyness,['США'],2006,"['драма', 'биография']",8.2,8.0
64,Шерлок Холмс и доктор Ватсон: Охота на тигра,,['СССР'],1980,"['детектив', 'криминал']",8.2,8.3
65,Живые и мертвые,,['СССР'],1963,"['драма', 'военный']",8.2,7.6
66,"Добро пожаловать, или Посторонним вход воспрещен",,['СССР'],1964,"['комедия', 'семейный']",8.2,7.9
67,Весна на Заречной улице,,['СССР'],1956,['мелодрама'],8.2,7.4
68,Горячий снег,,['СССР'],1972,['военный'],8.2,6.9
69,Тихий Дон,,['СССР'],1957,"['драма', 'военный']",8.2,7.7
70,На войне как на войне,,['СССР'],1968,"['драма', 'военный']",8.2,8.0
71,Шерлок Холмс и доктор Ватсон: Двадцатый век начинается,,['СССР'],1986,['детектив'],8.2,7.9
72,Отец солдата,,['СССР'],1964,"['драма', 'военный']",8.2,8.3
73,Назад в будущее 2,Back to the Future Part II,['США'],1989,"['комедия', 'боевик', 'приключения', 'семейный', 'фантастика']",8.2,7.8
74,Пианист,The Pianist,"['Германия', 'Польша', 'Великобритания', 'Франция']",2002,"['драма', 'биография', 'военный']",8.2,8.5
75,Назад в будущее 3,Back to the Future Part III,['США'],1990,"['комедия', 'вестерн', 'приключения', 'фантастика']",8.2,7.4
76,Белорусский вокзал,,['СССР'],1971,['драма'],8.2,7.7
77,Мальчик в полосатой пижаме,The Boy in the Striped Pyjamas,"['США', 'Великобритания']",2008,"['драма', 'военный', 'исторический']",8.1,7.7
78,Красавица и чудовище,Beauty and the Beast,['США'],1991,"['мелодрама', 'мультфильмы', 'мюзикл', 'семейный', 'фэнтези']",8.1,8.0
79,"Ирония судьбы, или С легким паром!",,['СССР'],1975,"['мелодрама', 'комедия']",8.1,8.1
80,Брат,,['Россия'],1997,"['драма', 'боевик', 'криминал']",8.1,7.8
81,Терминатор 2: Судный день,Terminator 2: Judgment Day,"['США', 'Франция']",1991,"['триллер', 'боевик', 'фантастика']",8.1,8.6
82,Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,['США'],2003,"['боевик', 'приключения', 'фэнтези']",8.1,8.1
83,Законопослушный гражданин,Law Abiding Citizen,['США'],2009,"['драма', 'триллер', 'криминал']",8.1,7.4
84,Области тьмы,Limitless,['США'],2011,"['триллер', 'детектив', 'фантастика']",8.1,7.4
85,Укрощение строптивого,Il bisbetico domato,['Италия'],1980,['комедия'],8.1,7.6
86,Адвокат дьявола,The Devil's Advocate,"['США', 'Германия']",1997,"['драма', 'триллер']",8.1,7.5
87,"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels",['Великобритания'],1998,"['комедия', 'криминал']",8.1,8.1
